distance,image_path_a,image_path_b,split_a,split_b,sha256_a,sha256_b
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240701_152004_jpg.rf.99abc611ebd93e2b1fd198395140593c.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_152004_jpg.rf.51f261c43aeb775d4fe852f63df1e2ab.jpg,train,train,01b3c813132f86339f25d1218b905d7bf00b572855d5ef46e26be52601769670,1c106f3d9e0c78cbd924da3b1c1f2580124bd23e9c1b38f7e668e83df1740221
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240701_152004_jpg.rf.99abc611ebd93e2b1fd198395140593c.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_152004_jpg.rf.d33ec2586f50a8e1fb1e59fae9a380cf.jpg,train,train,01b3c813132f86339f25d1218b905d7bf00b572855d5ef46e26be52601769670,7d2a8787672c3445a55eca95cf5b957bfff54dff185ef976e345cdf1f2ffe745
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240701_152004_jpg.rf.99abc611ebd93e2b1fd198395140593c.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_152004_jpg.rf.eb4a1dd2ba66261994610c82aaca584f.jpg,train,train,01b3c813132f86339f25d1218b905d7bf00b572855d5ef46e26be52601769670,224dc7b9ef7ad593a98fd539b8965ddecd3870cbe1061198d96a1d6789597b11
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240916_103303_jpg.rf.831123320adf6ce35533f52ad34feb87.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/test/images/old_20240916_103303_jpg.rf.5d47a265181c274b76471b008aef605b.jpg,train,test,2a4d504caa82149e86ef259570dd1eff11ff370ba9c465457f589821fa993cdc,6496ae64470020e75a2857d32eadef89b772568e39e3cc383716f4646a1b01bf
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/20240916_132933_jpg.rf.0ba470f378f389e2b19ac452d19d3244.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/test/images/old_20240916_132933_jpg.rf.7e947029bd1c07f0f533bcf9ae568c83.jpg,train,test,338e465aa01d6531e411444af8deffa832e3759e580a8370e20ea5ae598e4a53,fa73035f87af0493f9dbf928d6b215dde0473e5507b650510ee0c12885f5277e
0,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_152004_jpg.rf.51f261c43aeb775d4fe852f63df1e2ab.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_152004_jpg.rf.d33ec2586f50a8e1fb1e59fae9a380cf.jpg,train,train,1c106f3d9e0c78cbd924da3b1c1f2580124bd23e9c1b38f7e668e83df1740221,7d2a8787672c3445a55eca95cf5b957bfff54dff185ef976e345cdf1f2ffe745
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_152004_jpg.rf.51f261c43aeb775d4fe852f63df1e2ab.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_152004_jpg.rf.eb4a1dd2ba66261994610c82aaca584f.jpg,train,train,1c106f3d9e0c78cbd924da3b1c1f2580124bd23e9c1b38f7e668e83df1740221,224dc7b9ef7ad593a98fd539b8965ddecd3870cbe1061198d96a1d6789597b11
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_152004_jpg.rf.d33ec2586f50a8e1fb1e59fae9a380cf.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_152004_jpg.rf.eb4a1dd2ba66261994610c82aaca584f.jpg,train,train,7d2a8787672c3445a55eca95cf5b957bfff54dff185ef976e345cdf1f2ffe745,224dc7b9ef7ad593a98fd539b8965ddecd3870cbe1061198d96a1d6789597b11
4,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_153218-0-_jpg.rf.14c4cef177ae9f1e3c65f65cb99ecd7b.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_153218-0-_jpg.rf.51afd74730926620f48965aa8dfe489d.jpg,train,train,b5fe2a0a4e4cec022214e32a5b5e25853be3e33c2ce39d375cbaf43c7cfb4a74,cc317c35912ada33ee7b8bdeb4f3044d282b5d2b8e436a6bdbc92de46215cee1
2,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/old_20240701_153218-0-_jpg.rf.14c4cef177ae9f1e3c65f65cb99ecd7b.jpg,/kaggle/working/denguewatch_yolov8m_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/images/old_20240701_153218-0-_jpg.rf.935f394f05a539e482385c0e360d2d02.jpg,train,valid,b5fe2a0a4e4cec022214e32a5b5e25853be3e33c2ce39d375cbaf43c7cfb4a74,dbdd5d88335fb37b356dfe98ce1aa83cfe5fed331cecf5f9bccb6abbce7856f9
