epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,352.09,1.15167,1.92935,1.39303,0.71716,0.63562,0.7163,0.48872,1.20251,1.84576,1.48048,0.00998917,0.00332972,0.00998917,0.00332972,0.00998917,0.00332972,0.00998917,0.00332972
2,657.798,1.23423,1.50117,1.42442,0.68597,0.55706,0.615,0.38864,1.31497,2.39196,1.56424,0.0197913,0.00659709,0.0197913,0.00659709,0.0197913,0.00659709,0.0197913,0.00659709
3,950.273,1.41111,1.83635,1.5801,0.61522,0.47978,0.50307,0.29184,1.50864,3.07055,1.82322,0.0293954,0.00979846,0.0293954,0.00979846,0.0293954,0.00979846,0.0293954,0.00979846
4,1238.66,1.54341,2.05916,1.69391,0.60346,0.52315,0.54393,0.33503,1.40351,2.68732,1.67686,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1526.29,1.4903,1.93984,1.65805,0.6753,0.55521,0.59129,0.36002,1.37795,2.03494,1.6618,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1814.32,1.39146,1.75449,1.59462,0.71133,0.62429,0.68805,0.45913,1.27569,1.68731,1.56573,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2101.99,1.34027,1.62717,1.55899,0.71022,0.66235,0.69805,0.45873,1.29085,1.97607,1.55839,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2389.91,1.29472,1.51405,1.52474,0.76584,0.67402,0.7433,0.4873,1.30159,1.59233,1.60209,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2677.48,1.26647,1.43081,1.49806,0.76307,0.6699,0.7296,0.48122,1.22731,1.73309,1.52818,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2965.57,1.22645,1.37776,1.46365,0.81936,0.66887,0.76868,0.52598,1.17712,1.73697,1.49158,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3253.02,1.19238,1.2943,1.43941,0.78382,0.71562,0.77484,0.52483,1.15467,1.49313,1.49347,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3540.72,1.1568,1.22917,1.40755,0.83683,0.71512,0.80625,0.55555,1.12102,1.33973,1.46131,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3829.69,1.14142,1.19332,1.39476,0.82675,0.73266,0.80883,0.56339,1.119,1.32084,1.43787,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4117.69,1.13398,1.16109,1.39233,0.79001,0.77847,0.81157,0.5627,1.1434,1.44249,1.44687,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4405.93,1.08677,1.10421,1.36184,0.81541,0.74309,0.81812,0.57778,1.08876,1.25807,1.40347,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4694.26,1.08099,1.09317,1.36208,0.81899,0.76137,0.81672,0.58527,1.06564,1.20581,1.4047,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4982.73,1.07334,1.05643,1.34987,0.82527,0.75254,0.82081,0.58424,1.06466,1.26529,1.40074,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
