split,image_path,label_path,source_image_path,source_label_path,source_split,split_reason,annotation_count,is_background,sha256,phash
train,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/images/0378D390_5AE2_4D09_84BB_387E850F5E5A_png_jpg_rf_63863c91ab3a69d8b2522829563e73c6__d1da0a3cab.jpg,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/labels/0378D390_5AE2_4D09_84BB_387E850F5E5A_png_jpg_rf_63863c91ab3a69d8b2522829563e73c6__d1da0a3cab.txt,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/-0378D390-5AE2-4D09-84BB-387E850F5E5A-png_jpg.rf.63863c91ab3a69d8b2522829563e73c6.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/-0378D390-5AE2-4D09-84BB-387E850F5E5A-png_jpg.rf.63863c91ab3a69d8b2522829563e73c6.txt,train,preserved_from_dataset,0,True,d1da0a3cabe56250c65e0cb6c0103aef7dfe3dda116d38d22d9aee0570ae5e07,e21e93eeca2405bd
train,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/images/0378D390_5AE2_4D09_84BB_387E850F5E5A_png_jpg_rf_af13176ec3e6cd090fdbdeb29befc13b__b3267661c2.jpg,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/labels/0378D390_5AE2_4D09_84BB_387E850F5E5A_png_jpg_rf_af13176ec3e6cd090fdbdeb29befc13b__b3267661c2.txt,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/-0378D390-5AE2-4D09-84BB-387E850F5E5A-png_jpg.rf.af13176ec3e6cd090fdbdeb29befc13b.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/-0378D390-5AE2-4D09-84BB-387E850F5E5A-png_jpg.rf.af13176ec3e6cd090fdbdeb29befc13b.txt,train,preserved_from_dataset,0,True,b3267661c28f5b0ced17de63f0a0922621bde044ee032b19cc5c2a4847878ab3,e21e93eeca2405bd
train,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/images/046E9840_F025_4749_B3AB_19402B34E739_png_jpg_rf_7452c1533e1dc6bfb855adb0a02312d8__fb7f3c134c.jpg,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/labels/046E9840_F025_4749_B3AB_19402B34E739_png_jpg_rf_7452c1533e1dc6bfb855adb0a02312d8__fb7f3c134c.txt,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/-046E9840-F025-4749-B3AB-19402B34E739-png_jpg.rf.7452c1533e1dc6bfb855adb0a02312d8.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/-046E9840-F025-4749-B3AB-19402B34E739-png_jpg.rf.7452c1533e1dc6bfb855adb0a02312d8.txt,train,preserved_from_dataset,0,True,fb7f3c134c2ec7c78fc022528549fed250f6c7ade81e683f65499774cb3005c6,bd5c8425c66acc73
train,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/images/0D39FCF1_152A_4C52_A0F2_64670E54DB6D_png_jpg_rf_14c9654f87051fac35b5d56e586d47d1__458d0cbe26.jpg,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/labels/0D39FCF1_152A_4C52_A0F2_64670E54DB6D_png_jpg_rf_14c9654f87051fac35b5d56e586d47d1__458d0cbe26.txt,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/-0D39FCF1-152A-4C52-A0F2-64670E54DB6D-png_jpg.rf.14c9654f87051fac35b5d56e586d47d1.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/-0D39FCF1-152A-4C52-A0F2-64670E54DB6D-png_jpg.rf.14c9654f87051fac35b5d56e586d47d1.txt,train,preserved_from_dataset,0,True,458d0cbe2647a8c5f19df481508029343dd7fe1e70581adb336bdfbaffef8308,fe74815b9939814b
train,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/images/0DEDC30B_FD9A_4A41_ABC0_DBEDE7C1C712_png_jpg_rf_38d1c98d4bcf2206d6bb154648c9c1e8__313751f706.jpg,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/labels/0DEDC30B_FD9A_4A41_ABC0_DBEDE7C1C712_png_jpg_rf_38d1c98d4bcf2206d6bb154648c9c1e8__313751f706.txt,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/-0DEDC30B-FD9A-4A41-ABC0-DBEDE7C1C712-png_jpg.rf.38d1c98d4bcf2206d6bb154648c9c1e8.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/-0DEDC30B-FD9A-4A41-ABC0-DBEDE7C1C712-png_jpg.rf.38d1c98d4bcf2206d6bb154648c9c1e8.txt,train,preserved_from_dataset,0,True,313751f70687953c4d62d423759a77823223b134561ee97893d51f71fa97bd74,ce13338ed6746561
train,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/images/13AD8372_CDDB_4DCF_B8F9_DC10D210064B_png_jpg_rf_25632243f319515531e0b7ca8485de06__9da0f65106.jpg,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/labels/13AD8372_CDDB_4DCF_B8F9_DC10D210064B_png_jpg_rf_25632243f319515531e0b7ca8485de06__9da0f65106.txt,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/-13AD8372-CDDB-4DCF-B8F9-DC10D210064B-png_jpg.rf.25632243f319515531e0b7ca8485de06.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/-13AD8372-CDDB-4DCF-B8F9-DC10D210064B-png_jpg.rf.25632243f319515531e0b7ca8485de06.txt,train,preserved_from_dataset,0,True,9da0f65106b6c56eeaf7f11c03c8c00b3af4097fa0f514416a271b7ff2a9d445,aa63853d695a6aca
train,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/images/152B35A7_2687_4126_B46B_5382319E7A3C_png_jpg_rf_97223e3af308d5ef97f252ed15755e56__ae81b35ff9.jpg,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/labels/152B35A7_2687_4126_B46B_5382319E7A3C_png_jpg_rf_97223e3af308d5ef97f252ed15755e56__ae81b35ff9.txt,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/-152B35A7-2687-4126-B46B-5382319E7A3C-png_jpg.rf.97223e3af308d5ef97f252ed15755e56.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/-152B35A7-2687-4126-B46B-5382319E7A3C-png_jpg.rf.97223e3af308d5ef97f252ed15755e56.txt,train,preserved_from_dataset,0,True,ae81b35ff9d2ce2b9a04b090fd3dac9a49edb2f9f76dcddfd43effc488f0f49f,dbc664980f313c5e
train,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/images/1719DE15_BCDC_404A_8470_386AAD8717B4_png_jpg_rf_1fec655b981f26d35ec20d5a2ea88739__7051b96f6d.jpg,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/labels/1719DE15_BCDC_404A_8470_386AAD8717B4_png_jpg_rf_1fec655b981f26d35ec20d5a2ea88739__7051b96f6d.txt,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/-1719DE15-BCDC-404A-8470-386AAD8717B4-png_jpg.rf.1fec655b981f26d35ec20d5a2ea88739.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/-1719DE15-BCDC-404A-8470-386AAD8717B4-png_jpg.rf.1fec655b981f26d35ec20d5a2ea88739.txt,train,preserved_from_dataset,0,True,7051b96f6da8abfb606e7e82bdd2ede037caf0034001e03c2fc053d1ae58e152,ec4b309599bc5a2d
train,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/images/18_png_jpg_rf_53494ebd0927ad2cfb7ef7e71d5203be__43d3c52ecc.jpg,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/labels/18_png_jpg_rf_53494ebd0927ad2cfb7ef7e71d5203be__43d3c52ecc.txt,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/-18_png_jpg.rf.53494ebd0927ad2cfb7ef7e71d5203be.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/-18_png_jpg.rf.53494ebd0927ad2cfb7ef7e71d5203be.txt,train,preserved_from_dataset,1,False,43d3c52ecc49ffc64cb07c6bdb156afb51dd56163448395bad448c451f52c73a,a9d4ccf3d004cbd3
train,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/images/1F999A49_2799_4FBC_811D_D10A165F8B02_png_jpg_rf_e6cb6f80c6b00680600003bb5e2d067e__878daa2f57.jpg,/kaggle/working/denguewatch_yolov8n_workspace/clean_yolo_detection_dataset/train/labels/1F999A49_2799_4FBC_811D_D10A165F8B02_png_jpg_rf_e6cb6f80c6b00680600003bb5e2d067e__878daa2f57.txt,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/-1F999A49-2799-4FBC-811D-D10A165F8B02-png_jpg.rf.e6cb6f80c6b00680600003bb5e2d067e.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/-1F999A49-2799-4FBC-811D-D10A165F8B02-png_jpg.rf.e6cb6f80c6b00680600003bb5e2d067e.txt,train,preserved_from_dataset,0,True,878daa2f57e1ff89a6c90b4ee5064cc1fd8fbbefd4010bb65f7ae0524b65f0d3,891b3ec6362cc96e
