sha256,group_size,label_hash_count,image_paths,label_paths
00950d690534f86dd63848b55140cfc1587181449c1f906046f940571bfa6368,2,2,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-12-1-_jpg.rf.11b1bd768aa865e800d12c9de6757974.jpg | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-12-1-_jpg.rf.e02530ef735ee9ea4c11f46f1f35b239.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/images-12-1-_jpg.rf.11b1bd768aa865e800d12c9de6757974.txt | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/images-12-1-_jpg.rf.e02530ef735ee9ea4c11f46f1f35b239.txt
02478fed90a52387be4f7b5a5af71168536dae2d4bcc5715a12e00e9633cfe24,2,2,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/D_887238-MLB44886387857_022021-O_jpg.rf.b696074d0044e367e1008704684ba3e1.jpg | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/images/D_887238-MLB44886387857_022021-O_jpg.rf.2d83695a2770bdb6af54843b13713db7.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/D_887238-MLB44886387857_022021-O_jpg.rf.b696074d0044e367e1008704684ba3e1.txt | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/labels/D_887238-MLB44886387857_022021-O_jpg.rf.2d83695a2770bdb6af54843b13713db7.txt
03163423db66014ee9ef4a9cc7a951670a37610603121398e9248af510e47eb2,2,2,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-17-_jpg.rf.6771ee395420810f76c21345af953c02.jpg | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/images/images-17-_jpg.rf.81439e40937365ddf41cf9e16a5337d2.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/images-17-_jpg.rf.6771ee395420810f76c21345af953c02.txt | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/valid/labels/images-17-_jpg.rf.81439e40937365ddf41cf9e16a5337d2.txt
04326e5157b88e31784e2adf85cbd3cf91aeb9a0211770cb510426ebf5300af5,2,2,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/garrafa13_jpg.rf.6eca94046c68aa6926a197daaee3380b.jpg | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/garrafa13_jpg.rf.c0753e2bfceb6d6febfc21a0dd59fa27.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/garrafa13_jpg.rf.6eca94046c68aa6926a197daaee3380b.txt | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/garrafa13_jpg.rf.c0753e2bfceb6d6febfc21a0dd59fa27.txt
04a95ba13396763323ea7ebb9492cdb4f3f18e2cfd558d9b44022cc0a3726a24,2,2,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/download-1-1-_jpg.rf.22b0bfb367fb70aea7916ff45e382e15.jpg | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/download-1-1-_jpg.rf.2f3525965b4c5352404d03176b086e4f.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/download-1-1-_jpg.rf.22b0bfb367fb70aea7916ff45e382e15.txt | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/download-1-1-_jpg.rf.2f3525965b4c5352404d03176b086e4f.txt
0566ba5bf05c433511e4fbe00c4ee79159dc94448de1e6447ce4ff6b147107cb,2,2,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/imagem9_jpg.rf.95bf2b9090a499cf07abe6d8516884f2.jpg | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/imagem9_jpg.rf.b8664ce723d9e5d4f2701f863d5a8ba7.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/imagem9_jpg.rf.95bf2b9090a499cf07abe6d8516884f2.txt | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/imagem9_jpg.rf.b8664ce723d9e5d4f2701f863d5a8ba7.txt
05806023a1aec5fa4090b408cc74d9cc712e6a2402bd1448d46d0e9185e5248c,2,2,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/garrafas-pet-podem-entupir-esgoto-700x467_jpg.rf.7bfb6db10298fa92f6e65e6fdf562662.jpg | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/garrafas-pet-podem-entupir-esgoto-700x467_jpg.rf.f9b1ecd73384acf653c17babca6030be.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/garrafas-pet-podem-entupir-esgoto-700x467_jpg.rf.7bfb6db10298fa92f6e65e6fdf562662.txt | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/garrafas-pet-podem-entupir-esgoto-700x467_jpg.rf.f9b1ecd73384acf653c17babca6030be.txt
0a540a085ceda3540cc9763a7e1e96282c90b92dd1a5e640e394e35ad503cdf5,2,2,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/imagem14_jpg.rf.8ca9f56068223d4671cb675248db2d02.jpg | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/imagem14_jpg.rf.ae4231f4dea21ace1d5e6736874fd3af.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/imagem14_jpg.rf.8ca9f56068223d4671cb675248db2d02.txt | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/imagem14_jpg.rf.ae4231f4dea21ace1d5e6736874fd3af.txt
0a7e181ccb0ce14ed24ca13bad9519664565c7c47f9868031bea6ee62971e87f,2,2,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-3-_jpeg_jpg.rf.406b3c2b89839ab553953d1baf7bba36.jpg | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/images-3-_jpeg_jpg.rf.448624cfc0d60577b686136c6facf971.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/images-3-_jpeg_jpg.rf.406b3c2b89839ab553953d1baf7bba36.txt | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/images-3-_jpeg_jpg.rf.448624cfc0d60577b686136c6facf971.txt
0b61b2e130a0bff2f4ce8ebd8e0577715770a5530451db9384b91c3f0f5dff64,2,2,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/caixaaberta21_jpeg_jpg.rf.b39aab4bf94d33b6f05eef4070ebbd72.jpg | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/images/caixaaberta21_jpeg_jpg.rf.f9a07ebfb7f994898ab3bc1cadf2a5bd.jpg,/kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/caixaaberta21_jpeg_jpg.rf.b39aab4bf94d33b6f05eef4070ebbd72.txt | /kaggle/working/denguewatch_yolov8n_workspace/raw_data/roboflow_mosquito-breeding-expanded_v3_yolov8/train/labels/caixaaberta21_jpeg_jpg.rf.f9a07ebfb7f994898ab3bc1cadf2a5bd.txt
