epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,126.466,1.24141,2.9326,1.3888,0.67861,0.50526,0.57824,0.38244,1.22464,5.04735,1.47337,0.00997835,0.00332612,0.00997835,0.00332612,0.00997835,0.00332612,0.00997835,0.00332612
2,238.336,1.32236,2.1954,1.41091,0.5531,0.44443,0.46366,0.2617,1.42868,4.15114,1.6493,0.0197806,0.00659352,0.0197806,0.00659352,0.0197806,0.00659352,0.0197806,0.00659352
3,344.396,1.46753,2.10786,1.53132,0.45359,0.24049,0.23411,0.13137,1.77911,7.25971,2.12637,0.0293848,0.00979493,0.0293848,0.00979493,0.0293848,0.00979493,0.0293848,0.00979493
4,449.056,1.57484,2.15004,1.63161,0.40225,0.29494,0.27493,0.15288,1.86453,3.4991,2.05559,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,552.891,1.50486,1.97596,1.5921,0.64045,0.53317,0.57934,0.34269,1.43991,2.61509,1.64565,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,657.75,1.43578,1.79055,1.52863,0.69477,0.57068,0.63227,0.39605,1.34188,2.11121,1.5659,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,761.077,1.37934,1.67431,1.47821,0.74036,0.62041,0.68833,0.43858,1.39738,2.04137,1.63566,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,863.344,1.3537,1.58985,1.46986,0.74192,0.62392,0.70366,0.46144,1.3233,1.61396,1.55545,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,966.125,1.32437,1.51311,1.45276,0.71347,0.57125,0.6275,0.4028,1.33674,1.90606,1.55153,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1069.13,1.28822,1.44608,1.4371,0.79177,0.63778,0.73606,0.48911,1.23235,1.8899,1.46627,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
