epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,165.788,1.19018,1.95324,1.39907,0.67068,0.67169,0.71161,0.48446,1.13711,1.84512,1.36664,0.00997835,0.00332612,0.00997835,0.00332612,0.00997835,0.00332612,0.00997835,0.00332612
2,315.878,1.21105,1.37925,1.34401,0.70904,0.59178,0.64828,0.4131,1.26787,1.80254,1.47861,0.0197806,0.00659352,0.0197806,0.00659352,0.0197806,0.00659352,0.0197806,0.00659352
3,461.109,1.36942,1.64483,1.46416,0.60827,0.51385,0.53799,0.32169,1.43056,2.34116,1.69485,0.0293848,0.00979493,0.0293848,0.00979493,0.0293848,0.00979493,0.0293848,0.00979493
4,604.674,1.50186,1.86249,1.56835,0.65213,0.51927,0.5813,0.34828,1.4845,2.589,1.66787,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,748.244,1.46199,1.79911,1.54401,0.68399,0.59973,0.65184,0.4053,1.38292,1.90187,1.56779,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,891.757,1.3815,1.61164,1.48563,0.71536,0.6148,0.68686,0.43401,1.37249,1.72804,1.61108,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1035.73,1.32124,1.48675,1.43437,0.73288,0.64726,0.71473,0.47997,1.234,1.43967,1.45784,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1179.27,1.29081,1.39453,1.42431,0.76341,0.67912,0.73985,0.49209,1.24409,1.34422,1.48356,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1323.28,1.25106,1.34448,1.39909,0.77903,0.6151,0.7099,0.46964,1.27066,1.51061,1.54018,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1467.21,1.21901,1.27898,1.37692,0.775,0.686,0.7564,0.51001,1.19009,1.48069,1.4471,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1611.77,1.18934,1.22758,1.35351,0.81209,0.70285,0.78007,0.5261,1.20755,1.2415,1.48007,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1756.77,1.17207,1.19226,1.33933,0.77627,0.72488,0.78321,0.52982,1.23226,1.57074,1.49896,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1907.97,1.15667,1.15276,1.32722,0.77934,0.6882,0.76264,0.51596,1.23601,1.87825,1.49504,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2058.8,1.12289,1.10712,1.30868,0.77419,0.73634,0.78852,0.55311,1.12509,1.33499,1.38613,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2210.07,1.1097,1.07128,1.29085,0.84777,0.69932,0.81027,0.56015,1.17126,1.04987,1.44428,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2356.04,1.08684,1.04585,1.28101,0.81793,0.72367,0.79823,0.55857,1.16957,1.07407,1.48186,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2500.45,1.08129,1.00102,1.26977,0.82983,0.75178,0.82156,0.57237,1.12,1.02247,1.3733,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2644.71,1.05829,0.99073,1.26208,0.83255,0.75837,0.83742,0.58334,1.15689,1.02662,1.45016,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2788.44,1.05713,0.96961,1.26128,0.82499,0.75345,0.81528,0.57663,1.13874,1.0673,1.3986,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2932.53,1.0273,0.94436,1.23106,0.80581,0.75239,0.81838,0.58624,1.10477,1.12677,1.39606,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3077.02,1.02194,0.94205,1.23594,0.80761,0.79816,0.8389,0.59433,1.10678,1.01508,1.3977,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3221.45,1.01926,0.9122,1.2287,0.85152,0.77109,0.84509,0.5973,1.10075,0.93178,1.38004,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3365.69,0.98262,0.85717,1.20416,0.86431,0.7559,0.83806,0.59261,1.12321,0.96963,1.40105,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
