epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4721,1.20225,2.43785,1.31487,0.64732,0.57377,0.58377,0.37083,1.17737,9.4286,1.28502,0.000474365,0.000474365,0.000474365
2,88.6798,1.29872,1.8577,1.3664,0.60192,0.52526,0.54136,0.29986,1.38845,9.21218,1.44117,0.000931875,0.000931875,0.000931875
3,131.707,1.31211,1.65673,1.38357,0.57316,0.56104,0.56097,0.3439,1.24223,12.5304,1.35002,0.00137052,0.00137052,0.00137052
4,175.128,1.28641,1.5261,1.37186,0.68945,0.6362,0.70985,0.45032,1.1645,7.59106,1.29133,0.00134412,0.00134412,0.00134412
5,218.562,1.23174,1.35236,1.32886,0.69507,0.66895,0.71893,0.45984,1.16906,2.03108,1.27547,0.00131582,0.00131582,0.00131582
6,261.145,1.20307,1.26145,1.31211,0.73429,0.68798,0.75787,0.5002,1.10575,2.59507,1.22587,0.00128753,0.00128753,0.00128753
7,304.622,1.14213,1.17925,1.26709,0.77232,0.69933,0.75721,0.52462,1.09041,7.26265,1.2348,0.00125923,0.00125923,0.00125923
8,348.716,1.13376,1.14472,1.26323,0.76307,0.72543,0.77246,0.53258,1.0565,3.70276,1.21681,0.00123094,0.00123094,0.00123094
9,393.703,1.09782,1.09377,1.24173,0.82015,0.71975,0.80149,0.55553,0.99943,3.04294,1.14933,0.00120265,0.00120265,0.00120265
10,437.553,1.07346,1.03544,1.22221,0.79743,0.76659,0.83317,0.56841,1.01344,3.74436,1.15366,0.00117435,0.00117435,0.00117435
11,481.301,1.05902,1.01757,1.21572,0.86498,0.77739,0.84064,0.59034,0.9581,2.09323,1.11095,0.00114606,0.00114606,0.00114606
12,525.465,1.03262,0.96726,1.19866,0.79956,0.75441,0.81389,0.56889,0.97331,3.40254,1.13199,0.00111776,0.00111776,0.00111776
13,569.629,1.00555,0.92924,1.18121,0.82616,0.75717,0.84134,0.60562,0.95939,3.57065,1.10872,0.00108947,0.00108947,0.00108947
14,613.467,1.01556,0.90402,1.18517,0.82095,0.78892,0.8488,0.61316,0.94009,3.48845,1.12501,0.00106118,0.00106118,0.00106118
15,657.612,0.96911,0.87861,1.16752,0.83318,0.80847,0.86963,0.63096,0.93019,3.09992,1.10774,0.00103288,0.00103288,0.00103288
16,700.73,0.97606,0.86697,1.15718,0.79124,0.77779,0.8419,0.6109,0.91683,3.90804,1.09547,0.00100459,0.00100459,0.00100459
17,744.085,0.93621,0.81652,1.13649,0.86547,0.7599,0.8541,0.61608,0.92239,2.7097,1.09569,0.000976293,0.000976293,0.000976293
18,787.227,0.92802,0.78022,1.12714,0.87823,0.73721,0.8418,0.5985,0.93569,3.00984,1.11483,0.000947999,0.000947999,0.000947999
19,831.471,0.90224,0.7684,1.12077,0.85416,0.80445,0.86645,0.63103,0.94111,1.77352,1.09715,0.000919704,0.000919704,0.000919704
20,876.615,0.91506,0.77891,1.12792,0.85663,0.80629,0.8742,0.62903,0.93095,2.62038,1.09527,0.00089141,0.00089141,0.00089141
21,921.442,0.89743,0.75491,1.1173,0.83774,0.78938,0.85619,0.62665,0.89979,2.21767,1.07039,0.000863116,0.000863116,0.000863116
22,965.609,0.87067,0.73058,1.10079,0.84429,0.80532,0.86437,0.63358,0.91965,1.68555,1.10011,0.000834822,0.000834822,0.000834822
23,1010.47,0.88091,0.72925,1.10575,0.85544,0.78813,0.87122,0.64805,0.88511,1.81828,1.05758,0.000806528,0.000806528,0.000806528
24,1054.51,0.87879,0.71548,1.09926,0.86016,0.82231,0.8752,0.64723,0.88635,1.32437,1.0664,0.000778233,0.000778233,0.000778233
25,1098.5,0.85304,0.69077,1.08594,0.83638,0.81885,0.87724,0.66015,0.8632,1.34912,1.06774,0.000749939,0.000749939,0.000749939
26,1141.71,0.85033,0.67585,1.09139,0.84065,0.82579,0.88252,0.66867,0.87215,0.95524,1.05338,0.000721645,0.000721645,0.000721645
27,1185.14,0.82331,0.65039,1.0679,0.86554,0.81821,0.88119,0.66209,0.8767,1.00827,1.06324,0.000693351,0.000693351,0.000693351
28,1229.36,0.81321,0.64687,1.06767,0.83762,0.82373,0.88452,0.66775,0.84793,1.38099,1.04957,0.000665057,0.000665057,0.000665057
29,1271.97,0.8122,0.64127,1.06639,0.81728,0.83019,0.86943,0.65388,0.88784,2.23181,1.08534,0.000636762,0.000636762,0.000636762
30,1314.39,0.79973,0.63261,1.06285,0.86424,0.83242,0.88866,0.67732,0.86491,2.01887,1.06888,0.000608468,0.000608468,0.000608468
31,1357.09,0.78864,0.6201,1.05649,0.90522,0.78412,0.86785,0.66235,0.84413,1.93522,1.03491,0.000580174,0.000580174,0.000580174
32,1399.8,0.77713,0.6039,1.04931,0.85477,0.83661,0.88483,0.66336,0.87127,1.65032,1.06244,0.00055188,0.00055188,0.00055188
33,1443.48,0.77297,0.59117,1.0451,0.88306,0.83576,0.89458,0.68001,0.84088,1.55415,1.05779,0.000523586,0.000523586,0.000523586
34,1488.88,0.76909,0.59255,1.04114,0.90244,0.8269,0.89699,0.68098,0.84254,1.56999,1.04723,0.000495291,0.000495291,0.000495291
35,1533.38,0.7669,0.58674,1.04383,0.90671,0.82101,0.88861,0.67368,0.8229,1.61211,1.02594,0.000466997,0.000466997,0.000466997
36,1577.88,0.74124,0.57119,1.03073,0.90468,0.84009,0.89608,0.68589,0.8149,1.22611,1.0188,0.000438703,0.000438703,0.000438703
37,1622.61,0.73368,0.54646,1.02711,0.87406,0.82814,0.87974,0.66657,0.84201,1.4162,1.04565,0.000410409,0.000410409,0.000410409
38,1667.32,0.71052,0.5389,1.01706,0.88871,0.83525,0.89748,0.68761,0.81108,0.96934,1.03245,0.000382115,0.000382115,0.000382115
39,1712.14,0.72833,0.54713,1.0255,0.91407,0.8191,0.89277,0.68278,0.81714,0.88066,1.04522,0.00035382,0.00035382,0.00035382
40,1757.04,0.71027,0.52878,1.01363,0.8813,0.85247,0.89799,0.68736,0.81193,1.64217,1.04184,0.000325526,0.000325526,0.000325526
41,1800.96,0.64178,0.44355,0.95469,0.89889,0.82686,0.89108,0.68468,0.82585,1.07664,1.05408,0.000297232,0.000297232,0.000297232
42,1844.28,0.62132,0.41968,0.94542,0.90499,0.85299,0.90052,0.6843,0.81531,1.09876,1.03433,0.000268938,0.000268938,0.000268938
43,1887.43,0.61079,0.40305,0.93802,0.91022,0.84268,0.89314,0.68347,0.81329,1.1054,1.03868,0.000240644,0.000240644,0.000240644
44,1931.03,0.59028,0.38988,0.92756,0.91286,0.83108,0.89228,0.68811,0.81076,1.29529,1.03483,0.000212349,0.000212349,0.000212349
45,1973.79,0.57627,0.38116,0.92521,0.91592,0.82278,0.89463,0.68929,0.81075,1.40255,1.03036,0.000184055,0.000184055,0.000184055
46,2016.71,0.57352,0.3777,0.92072,0.88627,0.85374,0.8941,0.69401,0.80061,1.56576,1.01991,0.000155761,0.000155761,0.000155761
47,2059.58,0.55669,0.36331,0.91482,0.92092,0.83859,0.90185,0.69355,0.81124,1.03002,1.03674,0.000127467,0.000127467,0.000127467
48,2102.4,0.55371,0.35744,0.91038,0.90558,0.84895,0.89905,0.6987,0.79421,1.60095,1.02573,9.91726e-05,9.91726e-05,9.91726e-05
49,2145.32,0.54043,0.35348,0.91011,0.8754,0.86188,0.8992,0.69303,0.79666,1.3178,1.03342,7.08784e-05,7.08784e-05,7.08784e-05
50,2188.44,0.53662,0.35388,0.90747,0.88776,0.86002,0.89955,0.69447,0.79514,1.37608,1.03082,4.25842e-05,4.25842e-05,4.25842e-05
